,Topic Label,topic_nr,most_freq_words,rep_doc_year,title,Volumne,Authors
12,11_bike_city_bicycle_cycling,11,"['bike', 'city', 'bicycle', 'cycling', 'car', 'amsterdam', 'mobility', 'ffbs', 'parking', 'sharing']",2020,Cycling as a service assessed from a combined business-model and transitions perspective,36,"Petzer B.J.M.B.J.M., Wieczorek A.A.J., Verbong G.G.P.J."
13,12_innovation_actor_change_field,12,"['innovation', 'actor', 'change', 'field', 'transition', 'niche', 'process', 'regime', 'approach', 'level']",2020,"Municipal utilities and electric cooperatives in the United States: Interpretive frames, strategic actions, and place-specific transitions",36,"Lenhart S., Chan G., Forsberg L., Grimley M., Wilson E."
14,13_building_construction_project_intermediary,13,"['building', 'construction', 'project', 'intermediary', 'sector', 'energy', 'housing', 'process', 'development', 'policy']",2015,How transition management can inform development aid,14,Marquardt J.
15,14_complexity_transition_process_system,14,"['complexity', 'transition', 'process', 'system', 'study', 'approach', 'model', 'framework', 'research', 'level']",2017,Ten challenges for computer models in transitions research: Commentary on Holtz et al.,22,"McDowall W., Geels F.W."
16,15_transition_practice_process_system,15,"['transition', 'practice', 'process', 'system', 'actor', 'approach', 'policy', 'sustainability', 'change', 'research']",2015,"See no evil, hear no evil: The democratic potential of transition management",15,"Jhagroe S., Loorbach D."
17,16_food_system_transition_agri food,16,"['food', 'system', 'transition', 'agri food', 'agri', 'agro', 'justice', 'agro food', 'research', 'sustainability']",2020,Neglected systems and theorizing: A comment on the transitions research agenda,34,Kanger L.
18,17_car_manufacturer_vehicle_automobile,17,"['car', 'manufacturer', 'vehicle', 'automobile', 'filter', 'industry', 'emission', 'bus', 'converter', 'automotive']",2022,A choreography of delay: The response of German auto incumbents to environmental policy,45,"Richter I., Smith Stegen K."
19,18_transition_energy_uk_study,18,"['transition', 'energy', 'uk', 'study', 'gas', 'coalition', 'community', 'analysis', 'case', 'level']",2020,Network analysis of energy transition arena experiments,35,"Matschoss K., Repo P., Lukkarinen J."
20,19_policy_innovation_firm_factor,19,"['policy', 'innovation', 'firm', 'factor', 'influence', 'country', 'market', 'change', 'technology', 'sector']",2014,What shapes the impact of environmental regulation on competitiveness? Evidence from Executive Opinion Surveys,10,Peuckert J.
21,20_wind_power_solar_energy,20,"['wind', 'power', 'solar', 'energy', 'development', 'case', 'actor', 'technology', 'project', 'firm']",2017,Characteristics of investors in onshore wind power in Sweden,24,"Darmani A., Niesten E.M.M.I., Hekkert M.P."
22,21_interview_study_process_data,21,"['interview', 'study', 'process', 'data', 'analysis', 'interviewee', 'approach', 'article', 'research', 'actor']",2017,Interactions between systemic problems in innovation systems: The case of energy-efficient houses in the Netherlands,24,"Kieft A., Harmsen R., Hekkert M.P."
23,22_technology_china_firm_market,22,"['technology', 'china', 'firm', 'market', 'country', 'module', 'industry', 'germany', 'ti', 'solar']",2015,Dynamics of a policy-driven market: The co-evolution of technological innovation systems for solar photovoltaics in China and Germany,17,Quitzow R.
24,23_project_user_interview_government,23,"['project', 'user', 'interview', 'government', 'building', 'time', 'interviewee', 'energy', 'community', 'city']",2021,"User innovation, niche construction and regime destabilization in heat pump transitions",39,"Martiskainen M., Schot J., Sovacool B.K."
25,24_consumer_market_technology_product,24,"['consumer', 'market', 'technology', 'product', 'change', 'food', 'transition', 'system', 'firm', 'innovation']",2020,The potential of sustainability-oriented digital platform multinationals: A comment on the transitions research agenda,34,"Kolk A., Ciulli F."
26,25_car_vehicle_mobility_transport,25,"['car', 'vehicle', 'mobility', 'transport', 'electric', 'service', 'innovation', 'manufacturer', 'market', 'system']",2015,Assessing and comparing German and UK transition policies for electric mobility,14,"Mazur C., Contestabile M., Offer G.J., Brandon N.P."
27,26_transition_carbon_low_energy,26,"['transition', 'carbon', 'low', 'energy', 'low carbon', 'uk', 'policy', 'climate', 'change', 'paper']",2011,Analyzing sustainability transitions as a shift between socio-metabolic regimes,1,Fischer-Kowalski M.
28,27_city_transition_change_urban,27,"['city', 'transition', 'change', 'urban', 'innovation', 'socio', 'environment', 'context', 'spatial', 'process']",2019,Conceptualising the built environment to inform sustainable urban transitions,33,"Nielsen J., Farrelly M.A."
29,28_process_transition_system_actor,28,"['process', 'transition', 'system', 'actor', 'change', 'study', 'regime', 'context', 'approach', 'theory']",2012,Framing of regimes and transition strategies: An application to housing construction in Denmark,4,Jensen J.S.
30,29_vehicle_battery_electric_fuel,29,"['vehicle', 'battery', 'electric', 'fuel', 'hybrid', 'technology', 'ev', 'cell', 'car', 'emission']",2015,On the relation between communication and innovation activities: A comparison of hybrid electric and fuel cell vehicles,14,"Budde B., Alkemade F., Hekkert M."
31,30_transition_energy_policy_climate,30,"['transition', 'energy', 'policy', 'climate', 'change', 'process', 'understanding', 'intermediary', 'paper', 'system']",2016,Productivity growth as a barrier to a sustainability transition,20,Ferguson P.
32,31_actor_process_change_transition,31,"['actor', 'process', 'change', 'transition', 'regime', 'level', 'practice', 'vision', 'system', 'different']",2021,Introduction to “Zooming in and out: Special issue on local transition governance”,40,"Köhler J., Dütschke E., Wittmayer J."
33,32_market_company_government_year,32,"['market', 'company', 'government', 'year', 'system', 'grid', 'sector', 'generation', 'energy', 'development']",2016,Creating protective space for innovation in electricity distribution networks in Great Britain: The politics of institutional change,18,Lockwood M.
34,33_project_conservative_energy_technology,33,"['project', 'conservative', 'energy', 'technology', 'sector', 'liberal', 'development', 'china', 'wind', 'government']",2018,An intermediary approach to technological innovation systems (TIS)—The case of the cleantech sector in Finland,26,"Lukkarinen J., Berg A., Salo M., Tainio P., Alhola K., Antikainen R."
35,34_fuel_ethanol_brazil_oil,34,"['fuel', 'ethanol', 'brazil', 'oil', 'vehicle', 'malawi', 'market', 'country', 'programme', 'biofuels']",2014,"Pioneer countries in the transition to alternative transport fuels: Comparison of ethanol programmes and policies in Brazil, Malawi and Sweden",11,"Johnson F.X., Silveira S."
36,35_policy_coal_industry_phase,35,"['policy', 'coal', 'industry', 'phase', 'energy', 'government', 'subsidy', 'power', 'economic', 'political']",2019,Conditions for the deliberate destabilisation of established industries: Lessons from U.S. tobacco control policy and the closure of Dutch coal mines,33,Normann H.E.
37,36_scenario_emission_land_crop,36,"['scenario', 'emission', 'land', 'crop', 'farm', 'subsidy', 'soil', 'farmer', 'peatlands', 'agriculture']",2020,Evaluating integrated impacts of low-emission transitions in the livestock sector,35,"Spijker E., Anger-Kraavi A., Pollitt H., van de Ven D.-J."
38,37_actor_process_intermediary_transition,37,"['actor', 'process', 'intermediary', 'transition', 'niche', 'level', 'study', 'action', 'network', 'context']",2021,Towards sustainability in the port sector: The role of intermediation in transition work,40,"Bjerkan K.Y., Hansen L., Steen M."
39,38_patent_technology_cleantech_region,38,"['patent', 'technology', 'cleantech', 'region', 'applicant', 'citation', 'firm', 'indicator', 'inventor', 'innovation']",2019,Comparing the innovation strategies of Chinese and European wind turbine firms through a patent lens,30,"Pan M., Zhou Y., Zhou D.K."
40,39_psychology_theory_transition_psychological,39,"['psychology', 'theory', 'transition', 'psychological', 'individual', 'behaviour', 'literature', 'research', 'actor', 'context']",2020,Thinking about individual actor-level perspectives in sociotechnical transitions: A comment on the transitions research agenda,34,"Upham P., Bögel P., Dütschke E."
41,40_farmer_grazing_farm_dairy,40,"['farmer', 'grazing', 'farm', 'dairy', 'farming', 'concern', 'cow', 'processor', 'factory', 'sector']",2016,Communicating tensions among incumbents about system innovation in the Dutch dairy sector,21,"Hoes A.-C., Beers P.J., van Mierlo B."
42,41_bioeconomy_bio_based_resource,41,"['bioeconomy', 'bio', 'based', 'resource', 'forest', 'policy', 'sector', 'actor', 'production', 'innovation']",2020,Entrepreneurship and the sustainable bioeconomy transformation,37,"Kuckertz A., Berger E.S.C., Brändle L."
43,42_cluster_pollution_agent_green,42,"['cluster', 'pollution', 'agent', 'green', 'capital', 'fine', 'level', 'green growth', 'project', 'innovation']",2022,Policy instruments for green-growth of clusters: Implications from an agent-based model,43,"Kamath R., Sun Z., Hermans F."
44,43_solar_system_power_market,43,"['solar', 'system', 'power', 'market', 'electricity', 'china', 'pv', 'energy', 'installation', 'capacity']",2015,An emerging innovation system for deployment of building-sited solar photovoltaics in Sweden,15,Palm A.
45,44_state_war_economy_fuel,44,"['state', 'war', 'economy', 'fuel', 'system', 'government', 'price', 'oil', 'year', 'market']",2013,Sustainability transition and economic growth enigma: Money or energy?,9,"Ayres R.U., Campbell C.J., Casten T.R., Horne P.J., Kümmel R., Laitner J.A., Schulte U.G., Van Den Bergh J.C.J.M., Von Weiszäcker E.U."
46,45_emission_carbon_energy_technology,45,"['emission', 'carbon', 'energy', 'technology', 'policy', 'low', 'pathway', 'mitigation', 'cost', 'transition']",2013,Post carbon pathways: A meta-analysis of 18 large-scale post carbon economy transition strategies,8,"Wiseman J., Edwards T., Luckins K."
