,Topic Label,topic_nr,most_freq_words,rep_doc_year,title,Volumne,Authors
11,10_japan_scenario_emission_cost,10,"['japan', 'scenario', 'emission', 'cost', 'model', 'energy', 'sector', 'reduction', 'hydrogen', 'demand']",2021,Large-scale integration of offshore wind into the Japanese power grid,16.0,"Komiyama R., Fujii Y."
12,11_diet_scenario_food_consumption,11,"['diet', 'scenario', 'food', 'consumption', 'product', 'milk', 'meat', 'cow', 'animal', 'fish']",2013,Environmental comparison of draught animal and tractor power,8.0,"Spugnoli P., Dainelli R."
13,12_logic_institutional_field_organization,12,"['logic', 'institutional', 'field', 'organization', 'practice', 'organizational', 'market', 'logic actor', 'firm', 'actor']",2010,Chapter 1: Organizational institutionalism at Stanford: Reflections on the founding of a 30-year theoretical research program,28,Rowan B.
14,13_biofuels_fuel_ethanol_biofuel,13,"['biofuels', 'fuel', 'ethanol', 'biofuel', 'market', 'technology', 'vehicle', 'industry', 'plant', 'development']",2021,Coordination and legitimacy in the Australian biofuels innovation system 1979 - 2017,38,"Cox S., Parker R., O'Hara I., Sinclair S."
15,14_water_scenario_area_rainfall,14,"['water', 'scenario', 'area', 'rainfall', 'river', 'flood', 'groundwater', 'flow', 'land', 'risk']",2020,Simulating alternative sustainable water futures,15.0,"Sampson D.A., Cook E.M., Davidson M.J., Grimm N.B., Iwaniec D.M."
16,15_forest_land_scenario_deforestation,15,"['forest', 'land', 'scenario', 'deforestation', 'area', 'tree', 'cropland', 'plantation', 'land use', 'production']",2021,"A scenario- and spatial-downscaling-based land-use modeling framework to improve the projections of plausible futures: a case study of the Guangdong–Hong Kong–Macao Greater Bay Area, China",16.0,"Shi X., Matsui T., Haga C., Machimura T., Hashimoto S., Saito O."
17,16_rice_crop_yield_production,16,"['rice', 'crop', 'yield', 'production', 'fertilizer', 'area', 'farmer', 'loss', 'increase', 'rate']",2012,Ecologically optimal nitrogen application rates for rice cropping in the Taihu Lake region of China,7.0,"Xia Y., Yan X."
18,17_vehicle_battery_car_ev,17,"['vehicle', 'battery', 'car', 'ev', 'electric', 'technology', 'manufacturer', 'bus', 'industry', 'bev']",2012,The competitive environment of electric vehicles: An analysis of prototype and production models,2,"Sierzchula W., Bakker S., Maat K., Van Wee B."
19,18_religion_religious_church_practice,18,"['religion', 'religious', 'church', 'practice', 'organization', 'belief', 'identity', 'god', 'theory', 'paradox']",2014,Religion in organizations: Cognition and behavior,41,"Weaver G.R., Stansbury J.M."
20,19_synergy_sdgs_trade offs_offs,19,"['synergy', 'sdgs', 'trade offs', 'offs', 'trade', 'target', 'sdg', 'scale', 'development', 'policy']",2021,Urban–rural linkages: effective solutions for achieving sustainable development in Ghana from an SDG interlinkage perspective,16.0,"Baffoe G., Zhou X., Moinuddin M., Somanje A.N., Kuriyama A., Mohan G., Saito O., Takeuchi K."
21,20_transition_innovation_technology_market,20,"['transition', 'innovation', 'technology', 'market', 'system', 'consumer', 'change', 'policy', 'energy', 'industry']",2014,The double hermeneutic of sustainability transitions,11,Audet R.
22,21_community_village_land_year,21,"['community', 'village', 'land', 'year', 'food', 'people', 'area', 'family', 'life', 'government']",2022,Mapping Self-Help Groups (SHGs) as alternatives to capitalist development: an ethnographic enquiry from India,17.0,"Saha A., Kasi E."
23,22_transition_city_actor_process,22,"['transition', 'city', 'actor', 'process', 'innovation', 'context', 'system', 'change', 'socio', 'scale']",2020,Institutional capacity to integrate ‘radical’ perspectives on sustainability in small municipalities: experiences from Sweden,36,"Isaksson K., Hagbert P."
24,23_paradox_theory_logic_tension,23,"['paradox', 'theory', 'logic', 'tension', 'organization', 'contradiction', 'perspective', 'meaning', 'field', 'action']",2021,Logic(S) and paradox,73b,Berti M.
25,24_practice_object_logic_theory,24,"['practice', 'object', 'logic', 'theory', 'action', 'institution', 'meaning', 'world', 'heidegger', 'order']",2021,Trying not to try: The paradox of intentionality in jazz improvisation and its implications for organizational scholarship,73b,"Fisher C.M., Demir-Caliskan O., Hua M.Y., Cronin M.A."
26,25_shareholder_corporation_firm_ownership,25,"['shareholder', 'corporation', 'firm', 'ownership', 'company', 'enterprise', 'business', 'board', 'interest', 'corporate']",2022,Concluding reflections: the future of the corporation and research on the corporate form,78,Davis G.F.
27,26_hospital_patient_nurse_professional,26,"['hospital', 'patient', 'nurse', 'professional', 'care', 'logic', 'doctor', 'health', 'medical', 'geriatrician']",2019,Enacting relational expertise to change professional routines in technology-mediated service settings,61,"Kho J., Spee A.P., Gillespie N."
28,27_variable_model_error_test,27,"['variable', 'model', 'error', 'test', 'regression', 'parameter', 'variance', 'coefficient', 'estimate', 'analysis']",2018,"Inequality, poverty, and the carbon intensity of human well-being in the United States: a sex-specific analysis",13.0,"Jorgenson A.K., Dietz T., Kelly O."
29,28_sdgs_sdg_target_indicator,28,"['sdgs', 'sdg', 'target', 'indicator', 'implementation', 'country', 'national', 'review', 'progress', 'goal']",2017,The role of evaluation in achieving the SDGs,12.0,"Yonehara A., Saito O., Hayashi K., Nagao M., Yanagisawa R., Matsuyama K."
30,29_system_approach_science_human,29,"['system', 'approach', 'science', 'human', 'ecological', 'sustainability', 'perspective', 'value', 'social', 'understanding']",2018,Framing natural assets for advancing sustainability research: translating different perspectives into actions,13.0,"Martinez-Harms M.J., Gelcich S., Krug R.M., Maseyk F.J.F., Moersberger H., Rastogi A., Wambugu G., Krug C.B., Spehn E.M., Pascual U."
31,30_transition_political_politics_policy,30,"['transition', 'political', 'politics', 'policy', 'governance', 'innovation', 'sustainability', 'research', 'change', 'power']",2021,"Transition ‘backlash’: Towards explanation, governance and critical understanding",41,Pel B.
32,31_actor_institution_process_theory,31,"['actor', 'institution', 'process', 'theory', 'practice', 'action', 'meaning', 'work', 'organization', 'study']",2019,Performing apparatus: Infrastructures of valuation in hospitality,62,"Orlikowski W.J., Scott S.V."
33,32_process_theory_actor_action,32,"['process', 'theory', 'actor', 'action', 'understanding', 'approach', 'practice', 'meaning', 'organization', 'way']",2019,Future pasts: about a form of thought in modern society,14.0,Hölscher L.
34,33_disaster_hazard_earthquake_risk,33,"['disaster', 'hazard', 'earthquake', 'risk', 'vulnerability', 'evacuation', 'event', 'community', 'climate', 'change']",2021,Science as a common language for contribution to sustainability and peace,16.0,Kasuga F.
35,34_mortgage_bank_loan_market,34,"['mortgage', 'bank', 'loan', 'market', 'rating', 'investor', 'default', 'bond', 'security', 'asset']",2010,The structure of confidence and the collapse of Lehman Brothers,30,Swedberg R.
36,35_science_knowledge_process_sustainability,35,"['science', 'knowledge', 'process', 'sustainability', 'problem', 'co', 'way', 'practice', 'transformation', 'discipline']",2022,"Storying COVID-19: fear, digitalisation, and the transformational potential of storytelling",17.0,Essebo M.
37,36_ecological_scale_system_human,36,"['ecological', 'scale', 'system', 'human', 'landscape', 'social', 'ecosystem', 'biodiversity', 'land', 'change']",2016,From poverty trap to ecosystem service curse,11.0,"Kronenberg J., Hubacek K."
38,37_wind_energy_power_solar,37,"['wind', 'energy', 'power', 'solar', 'turbine', 'technology', 'development', 'renewable', 'electricity', 'actor']",2015,Broadening the national focus in technological innovation system analysis: The case of offshore wind,14,"Wieczorek A.J., Hekkert M.P., Coenen L., Harmsen R."
39,38_crop_land_production_area,38,"['crop', 'land', 'production', 'area', 'forest', 'deforestation', 'food', 'farmer', 'expansion', 'agricultural']",2022,Multi-target scenario discovery to plan for sustainable food and land systems in Australia,,"Navarro Garcia J., Marcos-Martinez R., Mosnier A., Schmidt-Traub G., Javalera Rincon V., Obersteiner M., Perez Guzman K., Thomson M.J., Penescu L., Douzal C., Bryan B.A., Hadjikakou M."
40,39_fishery_fisher_growth_ocean,39,"['fishery', 'fisher', 'growth', 'ocean', 'fishing', 'marine', 'economy', 'blue', 'degrowth', 'ecological']",2020,The paradox of sustainable tuna fisheries in the Western Indian Ocean: between visions of blue economy and realities of accumulation,15.0,"Andriamahefazafy M., Bailey M., Sinan H., Kull C.A."
41,40_science_discipline_sustainability_university,40,"['science', 'discipline', 'sustainability', 'university', 'program', 'student', 'research', 'course', 'disciplinary', 'journal']",2020,"Correction to: A community‑engaged approach to transdisciplinary doctoral training in urban ecosystem services (Sustainability Science, (2020), 15, 3, (699-715), 10.1007/s11625-020-00785-y)",15.0,"Chang H., Granek E.F., Ervin D., Yeakley A., Dujon V., Shandas V."
42,41_interview_interviewee_snowball_sampling,41,"['interview', 'interviewee', 'snowball', 'sampling', 'study', 'data', 'analysis', 'snowballing', 'process', 'project']",2021,Actors in transitions: narratives of roles and change in the German e-mobility transition,40,"Upham P., Gathen L."
43,42_process_system_technology_actor,42,"['process', 'system', 'technology', 'actor', 'change', 'transition', 'innovation', 'regime', 'level', 'development']",2017,Visualizing dynamic capabilities as adaptive capacity for municipal water governance,12.0,"Widener J.M., Gliedt T.J., Hartman P."
44,43_consumer_student_market_product,43,"['consumer', 'student', 'market', 'product', 'industry', 'change', 'innovation', 'adopter', 'trusteeship', 'actor']",2020,The potential of sustainability-oriented digital platform multinationals: A comment on the transitions research agenda,34,"Kolk A., Ciulli F."
45,44_solar_energy_grid_renewable,44,"['solar', 'energy', 'grid', 'renewable', 'model', 'industry', 'electricity', 'government', 'germany', 'sector']",2016,The politics of niche-regime conflicts: Distributed solar energy in the United States,19,Hess D.J.
46,45_church_religion_organization_religious,45,"['church', 'religion', 'organization', 'religious', 'christian', 'congregation', 'belief', 'faith', 'god', 'pastor']",2021,A field perspective on sustainability transitions: The case of religious organizations,40,"Koehrsen J., Huber F."
47,46_god_love_religion_world,46,"['god', 'love', 'religion', 'world', 'object', 'weber', 'life', 'divine', 'religious', 'salvation']",2014,Divine institution: Max Weber's value spheres and institutional theory,41,Friedland R.
48,47_artist_song_music_recording,47,"['artist', 'song', 'music', 'recording', 'identity', 'genre', 'category', 'industry', 'logic', 'authenticity']",2010,"Identity sequences and the early adoption pattern of a jazz canon, 1920-1929",31,"Kahl S., Kim Y.-K., Phillips D.J."
49,48_bike_bicycle_city_cycling,48,"['bike', 'bicycle', 'city', 'cycling', 'car', 'mobility', 'amsterdam', 'sharing', 'parking', 'ffbs']",2020,Why do companies’ institutional strategies differ across cities? A cross-case analysis of bike sharing in Shanghai & Amsterdam,36,"van Waes A., Farla J., Raven R."
50,49_worker_white_whig_state,49,"['worker', 'white', 'whig', 'state', 'planter', 'slavery', 'democrat', 'union', 'black', 'slave']",2019,The unbroken south: Political parties and the articulation of white supremacy,60,de Leon C.
51,50_labor_worker_union_platform,50,"['labor', 'worker', 'union', 'platform', 'employer', 'regulation', 'work', 'agreement', 'marxist', 'movement']",2022,BUILDING COLLECTIVE INSTITUTIONAL INFRASTRUCTURES FOR DECENT PLATFORM WORK: THE DEVELOPMENT OF A CROWDWORK AGREEMENT IN GERMANY,79,"Gegenhuber T., Schuessler E., Reischauer G., Thäter L."
52,51_farmer_sinaloa_production_maize,51,"['farmer', 'sinaloa', 'production', 'maize', 'agroforestry', 'agricultural', 'landscape', 'crop', 'livelihood', 'cultivation']",2022,"Correction: Research strategies to catalyze agroecological transitions in low- and middle-income countries (Sustainability Science, (2022), 10.1007/s11625-022-01163-6)",,"Jones S.K., Bergamini N., Beggi F., Lesueur D., Vinceti B., Bailey A., DeClerck F.A., Estrada-Carmona N., Fadda C., Hainzelin E.M., Hunter D., Kettle C., Kihara J., Jika A.K.N., Pulleman M., Remans R., Termote C., Fremout T., Thomas E., Verchot L., Quintero M."
53,52_actor_identity_institutional_theory,52,"['actor', 'identity', 'institutional', 'theory', 'institution', 'meaning', 'organization', 'structure', 'process', 'field']",2019,Identity within the microfoundations of institutions: A historical review,65B,Roberts A.E.
54,53_paris_agreement_emission_climate,53,"['paris', 'agreement', 'emission', 'climate', 'paris change', 'goal', 'target', 'international', 'gas', 'greenhouse']",2019,"Rules to goals: emergence of new governance strategies for sustainable development: Governance for global sustainability is undergoing a major transformation from rule-based to goal-based. But with no compliance measures, success will require an unprecedented level of coherency of action founded on new and reformed institutions nationally and internationally",14.0,"Kanie N., Griggs D., Young O., Waddell S., Shrivastava P., Haas P.M., Broadgate W., Gaffney O., Kőrösi C."
55,54_transition_innovation_framework_literature,54,"['transition', 'innovation', 'framework', 'literature', 'study', 'research', 'perspective', 'sustainability', 'phase', 'policy']",2018,Afterword: The creative industries — Arts and materiality redux,55,"Hirsch P.M., Bajpai K."
56,55_logic_organization_identity_process,55,"['logic', 'organization', 'identity', 'process', 'field', 'idea', 'practice', 'structure', 'relationship', 'actor']",2009,"Work, control and computation: Rethinking the legacy of neo-institutionalism",27,"Kallinikos J., Hasselbladh H."
57,56_ecological_social_human_change,56,"['ecological', 'social', 'human', 'change', 'biodiversity', 'sustainability', 'system', 'global', 'resilience', 'nature']",2008,Climate change and sustainability science,3.0,Pachauri R.
58,57_stakeholder_project_process_level,57,"['stakeholder', 'project', 'process', 'level', 'action', 'knowledge', 'approach', 'context', 'community', 'sustainability']",2022,On the discovery and enactment of positive socio-ecological tipping points: insights from energy systems interventions in Bangladesh and Indonesia,17.0,"Tàbara J.D., Lieu J., Zaman R., Ismail C., Takama T."
59,58_capitalist_world_colonialism_colonial,58,"['capitalist', 'world', 'colonialism', 'colonial', 'modernity', 'pluriverse', 'development', 'alternative', 'post', 'struggle']",2022,Jin-jiyan-azadi. Matristic culture and Democratic Confederalism in Rojava,17.0,"Piccardi E.G., Barca S."
60,59_qca_condition_configuration_case,59,"['qca', 'condition', 'configuration', 'case', 'outcome', 'csqca', 'set', 'causal', 'analysis', 'fsqca']",2013,The two QCAs: From a small-N to a large-N set theoretic approach,38,"Greckhamer T., Misangyi V.F., Fiss P.C."
61,60_forest_farmer_land_landscape,60,"['forest', 'farmer', 'land', 'landscape', 'conservation', 'area', 'service', 'ecosystem', 'biodiversity', 'agroforestry']",2020,The policyscape of agroforestry within Mediterranean protected landscapes in France,15.0,"Therville C., Antona M., de Foresta H."
62,61_cost_technology_electricity_energy,61,"['cost', 'technology', 'electricity', 'energy', 'wind', 'grid', 'power', 'scenario', 'year', 'plant']",2013,An overview of the energy efficiency potential,9,Laitner J.A.
63,62_configuration_qca_outcome_case,62,"['configuration', 'qca', 'outcome', 'case', 'set', 'variable', 'analysis', 'researcher', 'study', 'condition']",2013,Applying fuzzy set methodology to evaluate substitutes for leadership,38,"Whittington J.L., McKee V., Goodwin V.L., Bell R.G."
64,63_entrepreneur_organizational_entrepreneurship_institutional,63,"['entrepreneur', 'organizational', 'entrepreneurship', 'institutional', 'collaboration', 'field', 'organization', 'actor', 'relationship', 'change']",2014,Policy entrepreneurs in sustainability transitions: Their personality and leadership profiles assessed,13,"Timmermans J., Van Der Heiden S., Born M.P."
65,64_category_audience_analyst_identity,64,"['category', 'audience', 'analyst', 'identity', 'organization', 'process', 'field', 'form', 'status', 'firm']",2020,HYBRIDITY AND INSTITUTIONAL LOGICS,69,"Pache A.-C., Thornton P.H."
66,65_stanford_school_student_university,65,"['stanford', 'school', 'student', 'university', 'faculty', 'department', 'doctoral', 'sociology', 'organization', 'scholar']",2010,Chapter 28: School and Super-School,28,Strang D.
67,66_change_climate_ecological_ecosystem,66,"['change', 'climate', 'ecological', 'ecosystem', 'resilience', 'hazard', 'community', 'adaptation', 'vulnerability', 'island']",2007,Creating an academic landscape of sustainability science: An analysis of the citation network,2.0,"Kajikawa Y., Ohno J., Takeda Y., Matsushima K., Komiyama H."
68,67_organization_theory_process_structure,67,"['organization', 'theory', 'process', 'structure', 'object', 'institutional', 'analysis', 'meaning', 'paradox', 'action']",2009,Ideology and institutions: Introduction,27,"Meyer R.E., Sahlin K., Ventresca M.J., Walgenbach P."
69,68_island_atoll_area_coast,68,"['island', 'atoll', 'area', 'coast', 'eita', 'bangantebure', 'eita bangantebure', 'lagoon', 'coastal', 'shoreline']",2013,"Exposure of atoll population to coastal erosion and flooding: A South Tarawa assessment, Kiribati",8.0,"Duvat V., Magnan A., Pouget F."
70,69_multimodal_visual_mode_multimodality,69,"['multimodal', 'visual', 'mode', 'multimodality', 'verbal', 'meaning', 'rhetoric', 'myth', 'rhetorical', 'multimodal visual']",2017,Multimodality in organization studies: Afterword,54B,Van Leeuwen T.
71,70_farmer_food_crop_farming,70,"['farmer', 'food', 'crop', 'farming', 'agriculture', 'soil', 'land', 'farm', 'diet', 'production']",2018,Evolving the Anthropocene: linking multi-level selection with long-term social–ecological change,13.0,"Ellis E.C., Magliocca N.R., Stevens C.J., Fuller D.Q."
72,71_city_urban_experiment_myth,71,"['city', 'urban', 'experiment', 'myth', 'sustainability', 'citizen', 'city level', 'system', 'local', 'initiative']",2020,Nurturing nature: Exploring socio-spatial conditions for urban experimentation,34,"Dignum M., Dorst H., van Schie M., Dassen T., Raven R."
73,72_synergy_target_sdgs_trade offs,72,"['synergy', 'target', 'sdgs', 'trade offs', 'offs', 'sdg', 'trade', 'interaction', 'indicator', 'goal']",2022,Exploring mechanisms for systemic thinking in decision-making through three country applications of SDG Synergies,17.0,"Barquet K., Järnberg L., Alva I.L., Weitz N."
74,73_group_community_resource_change,73,"['group', 'community', 'resource', 'change', 'action', 'practice', 'individual', 'sustainability', 'time', 'process']",2021,"Human population, social justice, and climate policy",16.0,"Wolf C., Ripple W.J., Crist E."
75,74_behavior_decision_theory_psychological,74,"['behavior', 'decision', 'theory', 'psychological', 'individual', 'psychology', 'cascade', 'social', 'choice', 'preference']",2014,Affect in organizational networks,40,Casciaro T.
76,75_researcher_university_research_academic,75,"['researcher', 'university', 'research', 'academic', 'lgos', 'partnership', 'strategy', 'helpfulness', 'funding', 'partner']",2017,Transdisciplinary research partnerships in sustainability science: an examination of stakeholder participation preferences,12.0,"Bieluch K.H., Bell K.P., Teisl M.F., Lindenfeld L.A., Leahy J., Silka L."
77,76_interview_data_coding_analysis,76,"['interview', 'data', 'coding', 'analysis', 'question', 'source', 'transcribed', 'process', 'report', 'recorded']",2022,Amplifying actions for food system transformation: insights from the Stockholm region,,"Lam D.P.M., Jiménez-Aceituno A., Guerrero Lara L., Sellberg M.M., Norström A.V., Moore M.-L., Peterson G.D., Olsson P."
78,77_race_racial_discrimination_inequality,77,"['race', 'racial', 'discrimination', 'inequality', 'racism', 'racialized', 'organization', 'colorblind', 'white', 'employee']",2019,"Bureaucracy, discrimination, and the racialized character of organizational life",60,"Byron R.A., Roscigno V.J."
79,78_food_transition_agri food_agri,78,"['food', 'transition', 'agri food', 'agri', 'system', 'agro', 'agro food', 'justice', 'regime', 'transition system']",2021,Beyond food for thought – Directing sustainability transitions research to address fundamental change in agri-food systems,41,"Hebinck A., Klerkx L., Elzen B., Kok K.P.W., König B., Schiller K., Tschersich J., van Mierlo B., von Wirth T."
80,79_sustainability_change_transition_environmental,79,"['sustainability', 'change', 'transition', 'environmental', 'climate', 'global', 'innovation', 'sustainable', 'social', 'society']",2021,Engaging with climate adaptation in transition studies,41,Kuhl L.
81,80_mortgage_meltdown_crisis_loan,80,"['mortgage', 'meltdown', 'crisis', 'loan', 'credit', 'housing', 'rating', 'lender', 'failure', 'financial']",2010,The meltdown was not an accident,30,Perrow C.
82,81_nature_biodiversity_ecosystem_human,81,"['nature', 'biodiversity', 'ecosystem', 'human', 'change', 'climate', 'policy', 'scale', 'study', 'ecological']",2019,Future scenarios for socio-ecological production landscape and seascape,14.0,"Saito O., Hashimoto S., Managi S., Aiba M., Yamakita T., DasGupta R., Takeuchi K."
83,82_practice_logic_meaning_action,82,"['practice', 'logic', 'meaning', 'action', 'organization', 'actor', 'micro', 'theory', 'individual', 'work']",2020,Turtles all the way down – and up: Macro-institutions,,Scott W.R.
84,83_disease_farm_pathogen_farmer,83,"['disease', 'farm', 'pathogen', 'farmer', 'animal', 'am', 'crop', 'specie', 'farming', 'production']",2022,An ecosystem service approach to the study of vineyard landscapes in the context of climate change: a review,,"Candiago S., Winkler K.J., Giombini V., Giupponi C., Egarter Vigl L."
85,84_case_theory_research_transferability,84,"['case', 'theory', 'research', 'transferability', 'empirical', 'problem', 'method', 'hub cc', 'grounded', 'section']",2018,Conceptualizing the transfer of knowledge across cases in transdisciplinary research,13.0,"Adler C., Hirsch Hadorn G., Breu T., Wiesmann U., Pohl C."
86,85_bioeconomy_bio_biorefineries_zealand,85,"['bioeconomy', 'bio', 'biorefineries', 'zealand', 'resource', 'transition', 'bioeconomics', 'science', 'sector', 'bioeconomic']",2022,"Correction to: Envisioning just transformations in and beyond the EU bioeconomy: inspirations from decolonial environmental justice and degrowth (Sustainability Science, (2022), 10.1007/s11625-022-01091-5)",17.0,Ramcilovic-Suominen S.
87,86_transition_policy_technology_innovation,86,"['transition', 'policy', 'technology', 'innovation', 'niche', 'economy', 'level', 'market', 'paper', 'case']",2016,"Two continents divided by the same trends? reflections about marketization, competition, and inequality in European higher education",46,Teixeira P.
88,87_interview_snowball_sampling_interviewee,87,"['interview', 'snowball', 'sampling', 'interviewee', 'semi structured', 'semi', 'structured', 'conducted', 'transcribed', 'participant']",2011,Effects of third-party information on the demand for more sustainable consumption: A choice experiment on the transition of winter tourism,1,"Luthea T., Schläpfer F."
89,88_energy_nuclear_coalition_electricity,88,"['energy', 'nuclear', 'coalition', 'electricity', 'government', 'policy', 'industry', 'renewables', 'transition', 'technology']",2018,Sequence and alignment of external pressures in industry destabilisation: Understanding the downfall of incumbent utilities in the German energy transition (1998–2015),26,"Kungl G., Geels F.W."
90,89_car_vehicle_transport_sharing,89,"['car', 'vehicle', 'transport', 'sharing', 'ice', 'mobility', 'emission', 'sharer', 'electric', 'consumer']",2017,Mobility and environmental impacts of car sharing in the Netherlands,23,"Nijland H., van Meerkerk J."
91,90_landscape_ecosystem_biodiversity_tree,90,"['landscape', 'ecosystem', 'biodiversity', 'tree', 'ecological', 'land', 'nature', 'system', 'cultural', 'specie']",2022,Ecological performance standards for regenerative urban design,,"Benyus J., Dwyer J., El-Sayed S., Hayes S., Baumeister D., Penick C.A."
92,91_process_actor_conflict_knowledge,91,"['process', 'actor', 'conflict', 'knowledge', 'learning', 'system', 'problem', 'collaboration', 'resolution', 'practice']",2020,Understanding mechanisms of conflict resolution beyond collaboration: an interdisciplinary typology of knowledge types and their integration in practice,15.0,"Stepanova O., Polk M., Saldert H."
93,92_science_research_sustainability_problem,92,"['science', 'research', 'sustainability', 'problem', 'knowledge', 'approach', 'researcher', 'process', 'understanding', 'social']",2020,Exploring the transformative capacity of place-shaping practices,15.0,"Horlings L.G., Roep D., Mathijs E., Marsden T."
94,93_water_management_basin_decision,93,"['water', 'management', 'basin', 'decision', 'water related', 'river', 'implementation', 'process', 'governance', 'policy']",2018,Commentary on ‘A renewed focus on water security within the 2030 agenda for sustainable development’,13.0,Gordon C.
95,94_meaning_actor_discourse_form,94,"['meaning', 'actor', 'discourse', 'form', 'organization', 'sensemaking', 'work', 'study', 'way', 'sma']",2019,Infrastructuring as bricolage: Thinking like a contemporary knowledge worker,62,"Erickson I., Sawyer S."
96,95_africa_african_barometer_malawi,95,"['africa', 'african', 'barometer', 'malawi', 'eia', 'indcs', 'african evidence', 'country', 'approach', 'sustainable']",2011,Environmental impact assessment application in infrastructural projects in Malawi,6.0,Kosamu I.B.M.
97,96_water_resource_country_year,96,"['water', 'resource', 'country', 'year', 'inhabitant', 'state', 'environmental', 'district', 'project', 'development']",2011,A new institutional economics perspective on environmental issues,1,Ménard C.
98,97_transformation_sustainability_transition_change,97,"['transformation', 'sustainability', 'transition', 'change', 'approach', 'system', 'process', 'society', 'level', 'social']",2017,"The political ecology of water metabolism: the case of the Cobre las Cruces copper mine, southern Spain",12.0,"Beltrán M.J., Velázquez E."
99,98_process_system_place_knowledge,98,"['process', 'system', 'place', 'knowledge', 'science', 'catchment', 'research', 'land', 'human', 'social']",2016,Sustaining indigenous geographies through world heritage: a study of Uluṟu-Kata Tjuṯa National Park,11.0,Palmer M.
100,99_marine_tourism_island_rc,99,"['marine', 'tourism', 'island', 'rc', 'fish', 'reef', 'local', 'community', 'ecological', 'fishery']",2022,"How bountiful is the ocean? Participatory valuation of human–nature relationships in Yaeyama Islands, Okinawa, Japan",17.0,"Sugimoto A., Sugino H., Hori J."
101,100_process_system_innovation_actor,100,"['process', 'system', 'innovation', 'actor', 'change', 'structure', 'technology', 'network', 'level', 'literature']",2021,Sustainability transitions and strategic action fields: A literature review and discussion,38,"Kungl G., Hess D.J."
102,101_island_port_adaptation_atoll,101,"['island', 'port', 'adaptation', 'atoll', 'coastal', 'climate', 'vulnerability', 'change', 'pacific', 'ocean']",2020,Decision makers’ barriers to climate and extreme weather adaptation: a study of North Atlantic high- and medium-use seaports,15.0,"Mclean E.L., Becker A."
103,102_tree_forest_landscape_deforestation,102,"['tree', 'forest', 'landscape', 'deforestation', 'ban', 'appreciation', 'farmer', 'ai', 'pasture', 'community']",2019,"What future for primates? Conservation struggles in the forests of Cross River State, Nigeria",14.0,"Krause T., Nielsen T., Guia-Diaz L., Lehsten V., Olsson O., Zelli F."
