,Topic Label,standardized_mean,max,min
97,97_transformation_sustainability_transition_change,0.733,0.47,0.0
98,98_process_system_place_knowledge,0.851,0.405,0.0
99,99_marine_tourism_island_rc,0.842,0.69,0.0
100,100_process_system_innovation_actor,0.823,0.389,0.0
101,101_island_port_adaptation_atoll,0.598,0.7,0.0
102,102_tree_forest_landscape_deforestation,0.612,0.774,0.0
103,103_bias_sample_survey_respondent,0.699,0.387,0.0
104,104_technology_industry_module_solar,0.732,0.624,0.0
105,105_farm_farmer_land_crop,0.736,0.649,0.0
106,106_nature_value_concept_relational,0.763,0.646,0.0
107,107_fishery_fisher_bay_co management,0.546,0.847,0.0
108,108_company_cost_grid_industry,0.81,0.385,0.0
109,109_carbon_emission_low_technology,0.716,0.529,0.0
110,110_airline_aircraft_atp_shipowner,0.463,0.778,0.0
111,111_city_urban_community_transition,0.818,0.626,0.0
112,112_actor_role_perspective_process,0.749,0.48,0.0
113,113_community_system_approach_management,0.91,0.427,0.0
114,114_transition_innovation_energy_policy,1.008,0.95,0.0
115,115_problem_future_solution_sustainability,0.769,0.373,0.0
116,116_impact_design_case_output,0.682,0.445,0.0
117,117_japan_capital_prefecture_iwi,0.613,0.67,0.0
118,118_dialogue_discourse_actor_debate,0.782,0.495,0.0
119,119_storm_cyclone_sheet_wind,0.686,0.789,0.0
120,120_external_firm_externality_company,0.776,0.538,0.0
121,121_firm_clique_membership_member,0.762,0.496,0.0
122,122_organization_external_firm_resource,0.841,0.716,0.0
123,123_vulnerability_climate_change_exposure,0.701,0.443,0.0
124,124_process_context_change_niche,1.066,0.551,0.0
125,125_actor_routine_action_acceleration,0.729,0.332,0.0
126,126_organization_individual_form_action,1.019,0.566,0.0
127,127_crop_area_forest_land,0.785,0.469,0.0
128,128_delta_sediment_basin_area,0.79,0.669,0.0
129,129_system_market_technology_transition,0.841,0.599,0.0
130,130_technology_transition_country_market,0.875,0.472,0.0
131,131_waste_material_recycling_landfill,0.698,0.722,0.0
132,132_transition_system_market_technology,0.949,0.663,0.0
133,133_actor_organization_logic_field,0.688,0.447,0.0
134,134_city_urban_environment_ri city,0.73,0.702,0.0
135,135_variable_model_score_regression,0.708,0.648,0.0
136,136_woman_child_family_migration,0.614,0.718,0.0
137,137_game_approach_process_change,1.12,0.446,0.0
